"","X","Scenario","id","Choice","submitdate","startlanguage","startdate","Gender","Age","MaritalStatus","Occupation","Occupation.other.","Education","Householdsize","IncomeLevel","CityCountry","Nationality","DriversLicense","Carownership","ModeOfTransport.SQ001.","ModeOfTransport.SQ002.","ModeOfTransport.SQ003.","ParkingCosts.SQ001.","CongestionCosts.SQ001.","LowIncLikert.SQ001.","AffordableTrLikert.SQ001.","Resources","interviewtime","Time_Group1","Time_Group2","Time_Group3","Time_Group4","DailyTravelCost.Alt1","DelayOfTravel.Alt1","PeopleBenefiting.Alt1","CongestionReduction.Alt1","DailyTravelCost.Alt2","DelayOfTravel.Alt2","PeopleBenefiting.Alt2","CongestionReduction.Alt2","DailyTravelCost.Alt3","DelayOfTravel.Alt3","PeopleBenefiting.Alt3","CongestionReduction.Alt3","RR_Total","percent_RR_Total","RR_Gr2","RR_Gr3","RR_Gr4"
"109",674,"S17","0359383_49","Alt2","1/28/2019 15:12","en","1/28/2019 15:02","Male","30-39 years","Married","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","3","10,000-20,000 €","Cairo","Egyptian","Yes","yes, a privately owned/leased car","Car","Car","Car",1,1,5,3,"",573.64,77.96,88.88,360.15,46.65,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"110",644,"S17","0359383_52","Alt2","1/28/2019 15:17","en","1/28/2019 15:10","Female","30-39 years","Married","Employed - full-employed","","High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)","4",">70000 €","Greenwood, Indiana, United States of America","American","Yes","yes, a privately owned/leased car","Car","Car","Car",1,1,1,2,"Based on some measure of need",390.28,153.14,23.85,156.51,56.78,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"111",676,"S17","0359383_53","Alt2","1/28/2019 15:21","en","1/28/2019 15:14","Male","25-29 years","Married","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","1","0-5,000 €","Cairo,egypt","Egyptian","Yes","yes, a privately owned/leased car","Carsharing","Car","Car",1,2,5,3,"Based on some measure of need",435.61,117.71,42.76,183.3,91.84,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"112",682,"S17","0359383_54","Alt3","1/28/2019 15:29","en","1/28/2019 15:17","Female","30-39 years","Single","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)",">4","10,000-20,000 €","Qalyupiya,Egypt","Egypt","No","no","Car","Car","Car",1,1,5,5,"Based on some measure of need",733.57,147.28,168.96,284.06,133.27,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"113",694,"S17","0359383_55","Alt2","1/28/2019 15:26","en","1/28/2019 15:17","Male","30-39 years","Married","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","I prefer not to answer.","I prefer not to answer","Giza, sheikh Zayed city","Egyptian","Yes","yes, a privately owned/leased car","Car","Car","Car",2,1,5,1,"Based on some measure of need",505.41,161.66,28.02,246.2,69.53,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"114",659,"S17","0359383_56","Alt2","1/28/2019 15:34","en","1/28/2019 15:27","Female","30-39 years","Married","Other","Self-Employed","High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)","4",">70000 €","Austin, United States","American","Yes","yes, a privately owned/leased car","Car","Car","Car",5,2,1,3,"Equally per capita",459.11,99.16,17.31,286.26,56.38,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,1,33.3333333333333,1,0,0
"115",687,"S17","0359383_57","Alt1","1/28/2019 16:07","en","1/28/2019 15:38","Male","30-39 years","Married","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","4","20,000-30,000 €","Giza, Egypt","Egyptian","Yes","yes, a privately owned/leased car","Car","Car","Car",1,1,5,4,"",1768.38,1651.18,21.94,37.25,58.01,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,2,66.6666666666667,1,1,0
"116",649,"S17","0359383_58","Alt2","1/28/2019 16:06","en","1/28/2019 15:54","Male","25-29 years","Married","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","2","5,000-10,000 €","Cairo, egypt","Egyptian","Yes","yes, a privately owned/leased car","Car","Car","Car",3,1,5,1,"Based on some measure of need",694.86,83.08,25.57,514.37,71.84,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"117",692,"S17","0359383_60","Alt1","1/28/2019 16:06","en","1/28/2019 16:01","Male","30-39 years","Married","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)",">4","I prefer not to answer","Cairo ","Egyptian ","Yes","yes, a privately owned/leased car","Car","Car","Car",5,5,5,5,"",276.42,119.28,35.3,65.23,56.61,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,1,33.3333333333333,0,1,0
"118",633,"S17","0359383_61","Alt2","1/28/2019 16:09","en","1/28/2019 16:02","Female","30-39 years","Married","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","4","I prefer not to answer","Indianapolis, United States","American","Yes","yes, a privately owned/leased car","Car","Car","Car",3,2,3,2,"Based on some measure of need",456.51,57.99,17.7,310.09,70.73,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,1,33.3333333333333,1,0,0
"119",673,"S17","0359383_63","Alt2","1/28/2019 16:27","en","1/28/2019 16:23","Male","25-29 years","Married","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","2","5,000-10,000 €","Egypt","Egyptian ","Yes","yes, a privately owned/leased car","Car","Car","Car",5,5,4,3,"Equally per capita",224.85,52.88,21.43,94.78,55.76,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,2,66.6666666666667,1,1,0
"120",668,"S17","0359383_65","Alt3","1/28/2019 16:51","en","1/28/2019 16:45","Female","40-49 years","Divorced / Widowed","Employed - half-employed","","Graduated after secondary school (mittlere Reife)","3","10,000-20,000 €","Pfronten Bayern Germany","Canadian","Yes","yes, a privately owned/leased car","Car","Car","Car",3,1,1,3,"Based on some measure of need",383.98,94.51,102.39,116.15,70.93,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,1,33.3333333333333,0,1,0
"121",695,"S17","0359383_66","Alt2","1/28/2019 18:08","en","1/28/2019 17:57","Female","65 or older","Married","retired","","High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)","2","I prefer not to answer","Houston,Texas   USA","American","Yes","yes, a privately owned/leased car","Car","Car","Car",5,2,3,5,"Based on some measure of need",677.01,267.34,37.75,257.59,114.33,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"122",640,"S17","0359383_67","Alt2","1/28/2019 18:14","en","1/28/2019 18:05","Female","30-39 years","Married","housewife/househusband","","High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)",">4","50,000-60000 €","Corona, California, United States","American/white","Yes","yes, a privately owned/leased car","Car","Car","Car",3,1,4,3,"Based on some measure of need",520.76,132.49,20.83,310.38,57.06,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,1,33.3333333333333,1,0,0
"123",696,"S17","0359383_69","Alt1","1/28/2019 20:14","en","1/28/2019 18:16","Male","25-29 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","2","0-5,000 €","München","Kenyan","No","no","Public Transport","Public Transport","Public Transport",2,2,1,5,"Equally per capita",7062.63,62.01,40.27,77.69,6882.66,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,1,33.3333333333333,0,1,0
"124",688,"S17","0359383_71","Alt2","1/28/2019 19:31","en","1/28/2019 18:54","Female","30-39 years","Married","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","3","40,000-50,000 €","Justin TX USA","White Caucasian","Yes","yes, a privately owned/leased car","Car","Car","Car",5,4,2,5,"Based on some measure of need",2252.63,58.25,14.82,149.7,2029.86,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,1,33.3333333333333,1,0,0
"125",635,"S17","0359383_73","Alt2","1/28/2019 20:02","en","1/28/2019 19:45","Male","30-39 years","Married","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","4","10,000-20,000 €","Cairo, Egypt ???????? ","Egyptian ","Yes","yes, a privately owned/leased car","Public Transport","Car","Car",3,2,4,2,"Based on some measure of need",1041.99,181.63,42.63,490.89,326.84,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"126",639,"S17","0359383_75","Alt2","1/28/2019 22:01","en","1/28/2019 21:35","Male","40-49 years","Married","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","4","I prefer not to answer","kuwait city , kuwait","Egyptian","Yes","yes, a privately owned/leased car","Car","Car","Walking",1,1,5,5,"Based on some measure of need",1588.63,282.86,65.74,903.77,336.26,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"127",641,"S17","0359383_76","Alt2","1/28/2019 23:47","en","1/28/2019 23:41","Female","40-49 years","Married","unemployed","","University degree (Fachhochschul-/Universitätsabschluss)","2","30,000-40,000 €","Fredericton Canada","Scottish & French
Canadian born and raised.","Yes","yes, a privately owned/leased car","Car","Car","Walking",5,1,1,5,"Equally per capita",405.64,91.4,28.5,201.78,83.96,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"128",653,"S17","0359383_77","Alt2","1/29/2019 0:36","en","1/29/2019 0:23","Female","50-64 years","Married","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","2",">70000 €","Bargersville, Indiana USA ","American ","Yes","yes, a privately owned/leased car","Car","Car","Walking",4,3,3,4,"Based on some measure of need",773.4,105.13,39.9,499.46,128.91,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"129",685,"S17","0359383_78","Alt1","1/29/2019 1:00","en","1/29/2019 0:48","Male","30-39 years","Single","student (university)","","Graduate degree (MSc / PhD / etc.)","1","0-5,000 €","Berlin , Germany ","Egyptian ","Yes","no","Public Transport","Public Transport","Carsharing",5,5,1,3,"Based on some measure of need",720.82,119.54,57.17,439.32,104.79,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"130",647,"S17","0359383_81","Alt1","1/29/2019 15:28","en","1/29/2019 15:25","Male","30-39 years","Married","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","4","30,000-40,000 €","Beirut, Lebanon","Lebanese","Yes","yes, a privately owned/leased car","Car","Car","Car",5,1,1,1,"Based on some measure of need",214.19,71.66,19.5,78.98,44.05,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,3,100,1,1,1
"131",699,"S17","0359383_82","Alt2","1/30/2019 10:10","en","1/30/2019 10:02","Male","30-39 years","Married","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","4","20,000-30,000 €","Hyderabad, India","Indian","Yes","yes, a privately owned/leased car","Bike","Car","Car",3,1,2,4,"Based on some measure of need",504,55.26,24.66,341.43,82.65,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"132",701,"S17","0359383_83","Alt2","1/30/2019 13:54","en","1/30/2019 13:50","Male","25-29 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","4","20,000-30,000 €","Munich, germany","Turkish","Yes","no","Public Transport","Public Transport","Public Transport",2,1,3,1,"Based on some measure of need",266.47,60.87,20.36,129.48,55.76,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,1,33.3333333333333,1,0,0
"133",693,"S17","0359383_84","Alt2","1/30/2019 21:00","en","1/30/2019 20:49","Female","30-39 years","Married","housewife/househusband","","University degree (Fachhochschul-/Universitätsabschluss)","2",">70000 €","Munich, Germany","Anerican","Yes","no","Bike","Walking","Carsharing",2,2,4,2,"Based on some measure of need",651.52,81.42,54.36,451.13,64.61,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"134",689,"S17","0359383_85","Alt2","2/2/2019 1:55","en","2/2/2019 1:43","Male","25-29 years","Single","student (university)","","Graduate degree (MSc / PhD / etc.)","1","10,000-20,000 €","Munich, Germany","German","Yes","yes, a privately owned/leased car","Public Transport","Public Transport","Car",2,1,4,3,"Based on some measure of need",676.42,170.1,65.22,357.31,83.79,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"135",650,"S17","0359383_86","Alt2","2/2/2019 1:48","en","2/2/2019 1:45","Male","18-24 years","Single","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","1","5,000-10,000 €","Munich ","Indian ","No","no","Public Transport","Public Transport","Public Transport",3,4,3,3,"Based on some measure of need",220.85,47.14,29.22,110.57,33.92,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,2,66.6666666666667,0,1,1
"136",690,"S17","0359383_87","Alt2","2/2/2019 1:53","en","2/2/2019 1:47","Female","30-39 years","Single","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","1","I prefer not to answer","USA ","USA
","Yes","yes, a privately owned/leased car","Car","Car","Car",3,3,3,4,"Based on some measure of need",232.5,59.81,27.39,107.33,37.97,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,2,66.6666666666667,0,1,1
"137",683,"S17","0359383_88","Alt2","2/2/2019 2:02","en","2/2/2019 1:54","Male","30-39 years","Married","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","3","50,000-60000 €","Munich, Germany","Russian","Yes","yes, a privately owned/leased car","Public Transport","Car","Car",2,1,2,4,"Based on some measure of need",517.5,167.64,56.86,235.86,57.14,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"138",652,"S17","0359383_89","Alt2","2/2/2019 2:09","en","2/2/2019 1:59","Male","18-24 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","4","10,000-20,000 €","Munich, Germany","Belgian, Brazilian","Yes","no","Public Transport","Public Transport","Public Transport",3,2,4,5,"Equally per capita",648.15,109.07,24.82,408.6,105.66,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"139",691,"S17","0359383_90","Alt2","2/2/2019 7:40","en","2/2/2019 7:35","Male","18-24 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","1","50,000-60000 €","Munich, Germany","German","Yes","no","Public Transport","Walking","Public Transport",3,2,2,3,"Based on some measure of need",333.51,67.28,32.96,180.99,52.28,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"140",670,"S17","0359383_91","Alt2","2/2/2019 8:12","en","2/2/2019 8:05","Male","25-29 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","2","30,000-40,000 €","Munich","German","Yes","yes, a privately owned/leased car","Public Transport","Car","Car",3,4,5,3,"Based on some measure of need",416.66,100.15,134.44,139.42,42.65,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,1,33.3333333333333,0,0,1
"141",637,"S17","0359383_92","Alt2","2/2/2019 10:29","en","2/2/2019 10:24","Male","25-29 years","Single","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","1","60000-70000 €","Munich, Germany","Indian","No","no","Public Transport","Public Transport","Public Transport",5,5,4,2,"Equally per capita",311.71,69.56,17.91,188.07,36.17,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,2,66.6666666666667,1,0,1
"142",657,"S17","0359383_93","Alt1","2/6/2019 18:07","en","2/6/2019 18:04","Female","18-24 years","Single","student (university)","","Graduate degree (MSc / PhD / etc.)","1","0-5,000 €","Hamburg","French","No","no","Public Transport","Public Transport","Public Transport",5,1,5,5,"Based on some measure of need",183.81,40.36,13.39,99.8,30.26,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,3,100,1,1,1
"143",655,"S17","0359383_94","Alt2","2/6/2019 22:50","en","2/6/2019 22:42","Female","18-24 years","Single","student (university)","","Not graduated","4","0-5,000 €","San Sebastian, Spain","Spanish","No","no","Public Transport","Car","Car",4,4,3,3,"Based on some measure of need",466.78,106.14,58.07,238.6,63.97,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"144",636,"S17","0359383_95","Alt2","2/6/2019 22:48","en","2/6/2019 22:43","Male","18-24 years","Single","student (university)","","High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)",">4","0-5,000 €","Munich","German","Yes","no","Public Transport","Public Transport","Bike",4,1,4,2,"Based on some measure of need",336.8,59.79,31.49,193.38,52.14,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"145",667,"S17","0359383_96","Alt2","2/6/2019 22:52","en","2/6/2019 22:43","Female","25-29 years","Single","student (university)","","Graduate degree (MSc / PhD / etc.)",">4","5,000-10,000 €","Munich, Germany","Italian","Yes","yes, a privately owned/leased car","Public Transport","Car","Car",5,4,5,2,"Equally per capita",499.52,100.36,25.66,298.27,75.23,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"146",697,"S17","0359383_97","Alt2","2/6/2019 22:50","en","2/6/2019 22:43","Male","18-24 years","Single","student (university)","","Graduated after secondary school (mittlere Reife)",">4","5,000-10,000 €","Munich, Germany","Austrian","Yes","no","Public Transport","Public Transport","Bike",2,3,5,3,"Based on some measure of need",421.27,82.27,27.74,225.15,86.11,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"147",698,"S17","0359383_98","Alt2","2/6/2019 22:51","en","2/6/2019 22:44","Female","18-24 years","Single","student (university)","","High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)","1","0-5,000 €","Munich, Germany ","Ecuadorian ","No","no","Public Transport","Walking","Public Transport",3,1,4,3,"Based on some measure of need",457.41,113.39,25.33,263.11,55.58,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,0,0,0,0,0
"148",662,"S17","0359383_99","Alt2","2/6/2019 22:56","en","2/6/2019 22:50","Male","25-29 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","1","5,000-10,000 €","Munich,Germany","Turkish","Yes","no","Public Transport","Public Transport","Public Transport",2,1,3,2,"Based on some measure of need",406.59,62.94,181.7,112.26,49.69,0,0.2,0,0.3,1.5,-0.2,0.15,0.3,0,0,0,0,1,33.3333333333333,0,1,0
"149",1190,"S17","0525694_11","Alt1","2/2/2019 14:57","en","2/2/2019 14:54","Male","25-29 years","I prefer not to answer","Other","Boss","Graduate degree (MSc / PhD / etc.)","1","30,000-40,000 €","Braunschweig Germany","German","Yes","no","Bike","Bike","Bike",1,2,5,3,"Based on some measure of need",227.91,80.18,31.23,82.98,33.52,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,2,66.6666666666667,0,1,1
"150",1205,"S17","0525694_12","Alt1","2/2/2019 17:20","en","2/2/2019 17:13","Male","25-29 years","Married","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","3","60000-70000 €","Munich, Germany ","German","Yes","no","Public Transport","Public Transport","Public Transport",2,1,1,1,"Equally per capita",417.52,82.64,44.68,236.03,54.17,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,0,0,0,0,0
"151",1193,"S17","0525694_14","Alt3","2/8/2019 11:03","en","2/8/2019 10:57","Female","18-24 years","Single","student (university)","","Graduate degree (MSc / PhD / etc.)","2","30,000-40,000 €","Beijing,China","Chinese","Yes","yes, a privately owned/leased car","Walking","Car","Carsharing",3,3,4,4,"",330.76,115.95,68.88,85.54,60.39,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,1,33.3333333333333,0,1,0
"152",1200,"S17","0525694_15","Alt2","2/8/2019 11:06","en","2/8/2019 11:03","Female","40-49 years","Married","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","3","30,000-40,000 €","Toronto, Canada","Canadian","Yes","yes, a privately owned/leased car","Car","Car","Car",3,4,2,5,"Equally per capita",147.07,65,12.14,53.01,16.92,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,3,100,1,1,1
"153",1208,"S17","0525694_17","Alt1","2/8/2019 11:23","en","2/8/2019 11:10","Male","40-49 years","Single","Employed - half-employed","","Graduated after secondary school (mittlere Reife)","3","30,000-40,000 €","","","Yes","yes, a privately owned/leased car","Carsharing","Public Transport","Bike",3,1,4,4,"Equally per capita",96.03,33.57,19.05,28.17,15.24,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,3,100,1,1,1
"154",1209,"S17","0525694_18","Alt1","2/8/2019 11:17","en","2/8/2019 11:16","Male","30-39 years","Married","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","3","60000-70000 €","New York, USA","USA","Yes","yes, a privately owned/leased car","Car","Public Transport","Car",3,1,4,4,"Based on some measure of need",80.15,38.85,17.1,16.07,8.13,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,3,100,1,1,1
"155",1206,"S17","0525694_19","Alt2","2/8/2019 12:00","en","2/8/2019 11:17","Female","25-29 years","Married","Employed - full-employed","","Graduate degree (MSc / PhD / etc.)","4","20,000-30,000 €","Shanghai, China","Chinese","Yes","yes, a company car","Car","Car","Car",4,2,3,4,"Based on some measure of need",2615.86,125.22,75.46,2200.08,215.1,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,0,0,0,0,0
"156",1207,"S17","0525694_2","Alt1","1/27/2019 23:11","en","1/27/2019 23:03","Male","18-24 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","2","10,000-20,000 €","Munich, Germany","American","Yes","no","Public Transport","Public Transport","Bike",2,1,5,3,"Based on some measure of need",479.35,37.7,14.33,322,105.32,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,1,33.3333333333333,1,0,0
"157",1195,"S17","0525694_21","Alt2","2/8/2019 11:26","en","2/8/2019 11:25","Male","65 or older","I prefer not to answer","retired","","Graduate degree (MSc / PhD / etc.)",">4","10,000-20,000 €","Tokyo, Japan","Japan","Yes","yes, a privately owned/leased car","Walking","Walking","Bike",1,1,1,1,"Equally per capita",75.11,40.19,10.96,16.05,7.91,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,3,100,1,1,1
"158",1185,"S17","0525694_24","Alt1","2/8/2019 11:52","en","2/8/2019 11:39","Female","18-24 years","Single","student (university)","","High school graduated (Fachhochschulreife, Abitur, EOS 12. Klasse bzw. Berufsausbildung mit Abitur)","3","0-5,000 €","","","Yes","no","Walking","Public Transport","Public Transport",5,3,4,4,"Based on some measure of need",439.08,120.16,49.77,192.01,77.14,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,0,0,0,0,0
"159",1201,"S17","0525694_27","Alt1","2/8/2019 12:01","en","2/8/2019 11:55","Female","18-24 years","Single","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","3","0-5,000 €","Nanning，Guangxi","你猜嘻嘻嘻","No","yes, a privately owned/leased car","Car","Car","Car",3,3,3,3,"",351.58,141.06,76.07,81.8,52.65,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,1,33.3333333333333,0,1,0
"160",1192,"S17","0525694_28","Alt1","2/8/2019 12:55","en","2/8/2019 12:52","Male","30-39 years","Married","unemployed","","Graduate degree (MSc / PhD / etc.)","2","0-5,000 €","Berlin ","China","No","no","Public Transport","Public Transport","Public Transport",2,2,3,4,"Based on some measure of need",189.78,57.04,28.37,50.96,53.41,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,1,33.3333333333333,0,1,0
"161",1197,"S17","0525694_3","Alt1","2/2/2019 1:23","en","2/2/2019 1:10","Female","25-29 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","4","0-5,000 €","California, USA","American ","Yes","yes, a privately owned/leased car","Car","Car","Car",5,2,1,2,"Based on some measure of need",776.18,112.16,44.19,563.64,56.19,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,0,0,0,0,0
"162",1211,"S17","0525694_30","Alt3","2/8/2019 14:08","en","2/8/2019 14:03","Male","18-24 years","Single","student (university)","","University degree (Fachhochschul-/Universitätsabschluss)","1","0-5,000 €","","","Yes","no","Public Transport","Public Transport","Public Transport",3,4,2,5,"Based on some measure of need",298.11,58.47,36.47,133.98,69.19,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,0,0,0,0,0
"163",1214,"S17","0525694_32","Alt1","2/8/2019 16:12","en","2/8/2019 16:08","Male","18-24 years","Single","student (university)","","Graduate degree (MSc / PhD / etc.)","3",">70000 €","Milan Italy ","Cinese ","Yes","no","Public Transport","Public Transport","Car",2,1,2,4,"Based on some measure of need",231.33,62.01,19.26,109.69,40.37,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,3,100,1,1,1
"164",1198,"S17","0525694_33","Alt1","2/8/2019 18:15","en","2/8/2019 18:14","Male","25-29 years","Married","Employed - full-employed","","University degree (Fachhochschul-/Universitätsabschluss)","2","5,000-10,000 €","Munich, Germany","German
","No","no","Public Transport","Walking","Walking",4,3,4,3,"Equally per capita",117.16,45.64,15.9,45.13,10.49,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,3,100,1,1,1
"165",1187,"S17","0525694_34","Alt2","2/8/2019 18:19","en","2/8/2019 18:18","Female","18-24 years","Single","retired","","Not graduated","1","0-5,000 €","Munich, Germany","German","No","no","Public Transport","Public Transport","Public Transport",2,4,3,2,"Equally per capita",62.64,27.15,10.97,14.72,9.8,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,3,100,1,1,1
"166",1188,"S17","0525694_35","Alt2","2/8/2019 18:20","en","2/8/2019 18:19","Male","18-24 years","Single","student (university)","","Not graduated","1","I prefer not to answer","Munich, Germany","GERMAN","No","no","Public Transport","Public Transport","Public Transport",3,4,3,5,"",60.4,29.56,8.4,13.22,9.22,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,3,100,1,1,1
"167",1191,"S17","0525694_36","Alt2","2/8/2019 19:13","en","2/8/2019 19:12","Male","18-24 years","Single","I prefer not to answer.","","Not graduated","3","5,000-10,000 €","","","No","yes, a company car","Walking","Car","Car",3,3,3,3,"Equally per capita",89.97,35.55,19.47,21.3,13.65,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,3,100,1,1,1
"168",1210,"S17","0525694_37","Alt1","2/9/2019 12:53","en","2/9/2019 12:52","Male","18-24 years","Single","student (university)","","Not graduated",">4","5,000-10,000 €","","","No","no","Bike","Public Transport","Public Transport",5,5,5,2,"Equally per capita",107.16,35.21,21.4,24.98,25.57,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,3,100,1,1,1
"169",1199,"S17","0525694_38","Alt3","2/9/2019 15:09","en","2/9/2019 15:07","I prefer not to say","I prefer to to answer","I prefer not to answer","I prefer not to answer.","","I prefer not to answer.","I prefer not to answer.","I prefer not to answer","","","No","no","Public Transport","Public Transport","Public Transport",3,3,3,3,"",120.11,42.23,19.78,38.01,20.09,1.5,-0.2,0.3,0.3,0,0.2,0,0,0,0,0,0,3,100,1,1,1
